step,rl_mean_cov_pct,random_mean_cov_pct
0,8.333,8.333
1,15.476,14.524
2,21.429,20.238
3,25.952,22.381
4,30.000,25.476
5,33.571,28.095
6,36.667,29.762
7,38.571,31.429
8,41.667,33.333
9,45.714,36.429
10,47.381,37.143
11,49.762,38.571
12,50.952,40.476
13,53.333,41.190
14,55.000,42.143
15,56.190,43.095
16,58.095,43.810
17,58.571,45.000
18,60.000,45.714
19,61.190,46.667
20,63.333,47.381
21,64.524,48.333
22,65.714,49.286
23,66.429,50.000
24,67.857,51.190
25,69.286,52.143
26,70.476,52.857
27,70.952,53.571
28,72.143,54.286
29,72.619,54.762
30,73.333,55.000
31,74.286,56.190
32,75.238,57.143
33,76.190,57.619
34,76.667,58.333
35,77.619,58.333
36,77.857,58.333
37,78.571,58.810
38,79.286,59.286
39,79.286,59.762
40,79.286,60.476
41,80.238,60.476
42,80.952,60.476
43,81.190,60.476
44,81.905,60.476
45,82.619,60.476
46,83.095,60.476
47,83.571,60.476
48,84.048,60.476
49,84.286,60.476
50,84.762,60.952
51,85.476,60.952
52,85.714,60.952
53,86.190,60.952
54,86.667,60.952
55,87.381,60.952
56,87.381,60.952
57,88.333,60.952
58,88.571,60.952
59,88.571,61.429
60,88.810,61.429
61,89.048,61.429
62,89.286,61.667
63,89.286,61.667
64,89.286,62.143
65,89.762,62.381
66,89.762,62.381
67,90.000,62.381
68,90.000,62.619
69,90.476,62.619
70,90.952,62.619
71,91.190,62.619
72,91.429,62.619
73,91.429,62.619
74,91.667,62.619
75,91.667,62.857
76,91.667,62.857
77,91.905,63.095
78,92.381,63.095
79,92.619,63.095
80,92.857,63.095
81,93.810,63.095
82,94.286,63.095
83,94.524,63.095
84,94.762,63.095
85,94.762,63.095
86,95.000,63.095
87,95.000,63.333
88,95.000,63.333
89,95.000,63.333
90,95.000,63.571
91,95.238,63.571
92,95.476,63.571
93,95.714,63.571
94,95.952,63.571
95,95.952,63.571
96,96.429,63.571
97,96.429,63.571
98,96.429,63.810
99,96.429,63.810
100,96.667,63.810
101,96.667,63.810
102,96.667,63.810
103,96.667,63.810
104,96.667,63.810
105,96.667,63.810
106,96.667,63.810
107,96.667,64.286
108,96.667,64.286
109,96.667,64.286
110,97.143,64.286
111,97.143,64.286
112,97.143,64.286
113,97.143,64.286
114,97.381,64.286
115,97.381,64.286
116,97.381,64.286
117,97.381,64.286
118,97.381,64.286
119,97.381,64.286
120,97.381,64.286
121,97.619,64.524
122,97.619,64.524
123,97.857,64.524
124,97.857,64.524
125,97.857,64.524
126,97.857,64.524
127,97.857,64.524
128,97.857,64.524
129,97.857,64.524
130,97.857,64.524
131,98.095,64.524
132,98.095,64.524
133,98.095,64.524
134,98.095,64.524
135,98.095,64.524
136,98.333,64.524
137,98.333,64.524
138,98.333,64.524
139,98.571,64.524
140,98.810,64.524
141,98.810,64.524
142,98.810,64.524
143,98.810,64.524
144,98.810,64.524
145,98.810,64.524
146,98.810,64.524
147,98.810,64.524
148,98.810,64.524
149,98.810,64.524
150,99.048,64.524
151,99.048,64.524
152,99.048,64.524
153,99.048,64.524
154,99.048,64.524
155,99.048,64.524
156,99.048,64.524
157,99.048,64.524
158,99.048,64.524
159,99.048,64.524
160,99.048,64.524
161,99.048,64.524
162,99.048,64.524
163,99.048,64.524
164,99.048,64.524
165,99.048,64.524
166,99.048,64.524
167,99.048,64.524
168,99.048,64.524
169,99.048,64.524
170,99.048,64.524
171,99.048,65.000
172,99.048,65.000
173,99.048,65.000
174,99.286,65.476
175,99.286,65.476
176,99.524,65.476
177,99.524,65.952
178,99.524,65.952
179,99.524,65.952
180,99.524,65.952
181,99.524,65.952
182,99.524,65.952
183,99.524,65.952
184,99.524,65.952
185,99.524,65.952
186,99.524,66.190
187,99.524,66.190
188,99.762,66.190
189,99.762,66.190
190,99.762,66.190
191,99.762,66.190
192,99.762,66.190
193,100.000,66.190
194,100.000,66.190
195,100.000,66.190
196,100.000,66.190
197,100.000,66.190
198,100.000,66.190
199,100.000,66.190
200,100.000,66.190
201,100.000,66.190
202,100.000,66.190
203,100.000,66.190
204,100.000,66.190
205,100.000,66.190
206,100.000,66.190
207,100.000,66.190
208,100.000,66.190
209,100.000,66.429
210,100.000,66.429
211,100.000,66.667
212,100.000,66.667
213,100.000,66.667
214,100.000,66.905
215,100.000,66.905
216,100.000,66.905
217,100.000,66.905
218,100.000,66.905
219,100.000,66.905
220,100.000,66.905
221,100.000,66.905
222,100.000,66.905
223,100.000,66.905
224,100.000,66.905
225,100.000,66.905
226,100.000,66.905
227,100.000,66.905
228,100.000,66.905
229,100.000,66.905
230,100.000,66.905
231,100.000,66.905
232,100.000,66.905
233,100.000,66.905
234,100.000,67.143
235,100.000,67.143
236,100.000,67.143
237,100.000,67.143
238,100.000,67.143
239,100.000,67.143
240,100.000,67.143
241,100.000,67.143
242,100.000,67.143
243,100.000,67.143
244,100.000,67.143
245,100.000,67.143
246,100.000,67.143
247,100.000,67.143
248,100.000,67.143
249,100.000,67.143
250,100.000,67.381
251,100.000,67.381
252,100.000,67.381
253,100.000,67.381
254,100.000,67.381
255,100.000,67.381
256,100.000,67.381
257,100.000,67.381
258,100.000,67.381
259,100.000,67.381
260,100.000,67.381
261,100.000,67.381
262,100.000,67.381
263,100.000,67.381
264,100.000,67.381
265,100.000,67.381
266,100.000,67.857
267,100.000,67.857
268,100.000,67.857
269,100.000,67.857
270,100.000,67.857
271,100.000,67.857
272,100.000,67.857
273,100.000,67.857
274,100.000,67.857
275,100.000,67.857
276,100.000,67.857
277,100.000,67.857
278,100.000,67.857
279,100.000,67.857
280,100.000,67.857
281,100.000,67.857
282,100.000,67.857
283,100.000,67.857
284,100.000,67.857
285,100.000,67.857
286,100.000,67.857
287,100.000,67.857
288,100.000,67.857
289,100.000,67.857
290,100.000,67.857
291,100.000,67.857
292,100.000,67.857
293,100.000,67.857
294,100.000,67.857
295,100.000,67.857
296,100.000,67.857
297,100.000,67.857
298,100.000,67.857
299,100.000,67.857
300,100.000,67.857
301,100.000,67.857
302,100.000,67.857
303,100.000,67.857
304,100.000,67.857
305,100.000,67.857
306,100.000,67.857
307,100.000,67.857
308,100.000,67.857
309,100.000,67.857
310,100.000,67.857
311,100.000,67.857
312,100.000,67.857
313,100.000,67.857
314,100.000,67.857
315,100.000,67.857
316,100.000,67.857
317,100.000,67.857
